table_name,table_type
ALL_IB_NEW,BASE TABLE
BOOK_REV_DAILY,NOT_FOUND
BV_CLASSIC_LICENSE_CONSUMPTION_VISIBILITY_X,VIEW
BV_CLASSIC_LICENSE_ENTITLEMENT_VISIBILITY_X,VIEW
BV_CPS_SAIB_ITEMS_PRICE,NOT_FOUND
BV_CUST_ACCT_SALES_COVERAGE,VIEW
BV_CUSTOMER_SCOPE_DETAILS,VIEW
BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW
BV_DSCI_CPQ_QUOTE,NOT_FOUND
BV_DSCI_CPQ_QUOTE_LINE,NOT_FOUND
BV_DSCI_TS_SERVICES_ATR,VIEW
BV_END_OF_LIFE_PRODUCT,VIEW
BV_EOL_BULLETIN_MILESTONE_GROUP,VIEW
BV_IBSA_ACAT_CUSTOMER_MASTER,NOT_FOUND
BV_LICENSE_CONSUMPTION_F,VIEW
BV_LICENSE_DEVICES_D,VIEW
BV_LICENSE_ENTITLEMENTS_D,VIEW
BV_LICENSE_ENTITLEMENTS_F,VIEW
BV_LICENSED_FEATURES_D,VIEW
BV_MCE_AM_ENGAGEMENT_DATA,NOT_FOUND
BV_MCE_AM_ENGAGEMENT_HDR,NOT_FOUND
BV_SALES_HIERARCHY,VIEW
BV_SALES_HIERARCHY,VIEW
BV_SALES_ORDER_LINE,VIEW
BV_SALES_ORDER_TV,VIEW
BV_SERVICE_QUOTE_LINE,VIEW
BV_SMART_ACCOUNT_DOMAINS_X,VIEW
BV_SMART_ACCOUNTS_D,VIEW
BV_UNIFIED_LICENSE_CONSUMPTION,VIEW
BV_UNIFIED_LICENSE_ENTITLEMENT,VIEW
BV_VIRTUAL_ACCOUNTS_D,VIEW
CANVAS_4543_THOUGHT_SPOT,NOT_FOUND
CANVAS_TASK_SEQUENCE,NOT_FOUND
CPS_CUSTOMER_DISCOVERY_SA,VIEW
CPS_DSCI_BR.DC_METRICS_BOOKING_FEATURES,NOT_FOUND
CRT_XXNGCR_DNM_RELATIONSHIPS,NOT_FOUND
CRT_XXNGCR_SOURCE_IMAGE,NOT_FOUND
CSF_CIB_SPD_OBJECT_ATTRIBUTES,NOT_FOUND
CSF_HR_ALL_ORGANIZATION_UNITS,NOT_FOUND
CSF_XXCCS_DS_CVDPRDLINE_DETAIL,NOT_FOUND
CSF_XXCCS_DS_CVDPRDLINE_DETAIL_H,NOT_FOUND
CSF_XXCCS_DS_INSTANCE_DETAIL,NOT_FOUND
CSF_XXCCS_DS_SAHDR_CORE,NOT_FOUND
CSF_XXCCS_DS_SAIB_ITEMS,NOT_FOUND
CSF_XXCCS_DS_SITE_GU_DENORM,NOT_FOUND
DAILY_COVERAGE_CONTRACT_2025_10_25,BASE TABLE
DAILY_COVERAGE_INSTANCE_2025_10_25,BASE TABLE
DAILY_EOL_2025_10_25,BASE TABLE
DAILY_EOV_2025_10_25,BASE TABLE
DAILY_INSTANCE_2025_10_25,BASE TABLE
DAILY_PARENT_INSTANCE_2025_10_25,BASE TABLE
DAILY_SAV_TO_PARTY_2025_10_25,BASE TABLE
DAILY_SERIAL_TO_INSTANCE_2025_10_25,BASE TABLE
DAILY_SITE_2025_10_25,BASE TABLE
DAILY_SITE_2025_10_25,BASE TABLE
DATA_CANVAS_FILE_DETAIL_V,VIEW
DATA_CANVAS_FILE_UPLOAD_LOG_V,VIEW
DATA_CANVAS_GENERIC_UPLOAD,VIEW
DATA_CANVAS_TS_REPORTING,VIEW
DATA_CANVAS_USER_ROLE_V,VIEW
DC_BOOKING_CONTRACTS_ALLOCATIONS_TEST,BASE TABLE
DC_BOOKINGS_CONTRACTS_TEST,BASE TABLE
DC_BOOKINGS_CONTRACTS_TEST,BASE TABLE
DC_CORRECTED_HW_SW_SPLIT_TEST,VIEW
DC_CURRENT_SNAP_SAV,VIEW
DC_METRICS_ALLOCATIONS,VIEW
DC_METRICS_CONTRACT_STATUS_DAILY,VIEW
DC_METRICS_ORG_WITH_CAM_RULE,VIEW
DC_METRICS_ORG_WITH_CAM_RULE AS HIER,NOT_FOUND
DC_SDM_RISK_ASSESSMENT_LATEST_NOTES_V,VIEW
DC_SDM_RISK_ASSESSMENT_NOTES,BASE TABLE
DC_SDM_RISK_ASSESSMENT_STATUS,BASE TABLE
DC_TAG_THOUGHTSPOT,BASE TABLE
DC_TAGS,BASE TABLE
DC_TAGSET,BASE TABLE
DIM_DATE_NEW,BASE TABLE
EMPLOYEE_DATA,NOT_FOUND
ESRI_GEO_DATA,BASE TABLE
FAKE_DELIVERABLES_METRICS,BASE TABLE
MX_SO_PER_BC,NOT_FOUND
RTP_TV_BASIC_METRICS,BASE TABLE
SEA_BOOKINGS,BASE TABLE
STG_CPS_LICENSE_CONSUMPTIONS_CSD,VIEW
TMP_REV_NEW_WITH_DETAILS,BASE TABLE
